Column,QuestionText
MainBranch,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"".*"
Age,What is your age?*
Employment,Which of the following best describes your current employment status? Select all that apply.*
RemoteWork,Which best describes your current work situation?
Check,Just checking to make sure you are paying attention to the survey questions. Select ‘Apples’ from the list and you can get back to the survey.*<br><br>
CodingActivities,Which of the following best describes the code you write outside of work? Select all that apply.
EdLevel,Which of the following best describes the highest level of formal education that you’ve completed? *
LearnCode,How do you learn to code? Select all that apply.
LearnCodeOnline,What online resources do you use to learn to code? Select all that apply.
TechDoc,What is the source of the technical documentation you use most often to learn to code?  Select all that apply.
YearsCode,"Including any education, how many years have you been coding in total?"
YearsCodePro,"NOT including education, how many years have you coded professionally (as a part of your work)?"
DevType,"Which of the following describes your current job, the one you do most of the time? Please select only one."
OrgSize,"Approximately how many people are employed by the company or organization you currently work for?  This should only include your primary company, and not the entire holding or parent company if that applies."
PurchaseInfluence,"What level of influence do you, personally, have over new technology purchases at your organization?"
BuyNewTool,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply."
BuildvsBuy,"When asked to provide a recommendation for solving a problem at work with a new tool or software, what has been your most recent choice of the following?"
TechEndorse,What product feature do you care about most when endorsing a technology purchase? Select all that apply.
Country,"Where do you live? <span style=""font-weight: bolder;"">*</span>"
Currency,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *"
CompTotal,"What is your current total <b>annual</b> compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty. "
Language,"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)"
Database,"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)"
Platform,"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)"
Webframe,"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
